entry,subentry,fstHits.mXYZ.fX,fstHits.mXYZ.fY,fstHits.mXYZ.fZ,reco.mQATruth,reco.mIdTruth,reco.mChi2
15,2,-0.013166659511625767,-6.43748664855957,151.7640380859375,1,5,4.1976204e-15
15,3,-0.01904691569507122,-9.312480926513672,178.7950439453125,1,23,0.07878485
16,0,-2.764282703399658,-5.813789367675781,151.7640380859375,1,2,2.7901881e-15
17,0,12.302245140075684,20.242341995239258,166.6571044921875,1,1,1.8163445
17,1,17.788793563842773,2.3049349784851074,153.1590576171875,1,2,7.02622e-06
17,2,26.394611358642578,2.9817686080932617,180.1900634765625,1,3,1.8320503
17,3,5.854764461517334,10.689101219177246,151.7640380859375,1,10,1.4250913e-21
17,4,2.523057222366333,17.75916862487793,180.1900634765625,1,11,8.864066e-06
17,5,-20.498769760131836,3.6000781059265137,166.6571044921875,1,22,2.0023618
17,6,-11.803862571716309,-3.0338051319122314,151.7640380859375,1,23,2.3308988
17,7,-4.274156093597412,-4.813833713531494,165.2620849609375,1,27,2.9931692e-18
17,8,-10.54219913482666,-6.115324974060059,165.2620849609375,1,29,0.0017693733
17,9,-7.282501697540283,-5.804121017456055,165.2620849609375,1,34,3.1306632e-10
17,10,-10.616449356079102,-5.985495567321777,178.7950439453125,1,40,49.003113
17,11,-14.588363647460938,-3.749472141265869,178.7950439453125,1,42,1.3163695
17,12,-24.602458953857422,-10.014259338378906,153.1590576171875,1,44,1.2231577e-19
17,13,-26.328107833862305,-3.520958423614502,153.1590576171875,1,46,3.0839292e-05
18,0,1.2429776191711426,6.316360950469971,151.7640380859375,1,2,4.61496e-14
18,1,3.1552135944366455,8.761693954467773,151.7640380859375,1,5,1.8320504
18,2,0.19746904075145721,6.4344706535339355,151.7640380859375,1,22,0.024858251
18,3,-2.929600477218628,5.732263565063477,165.2620849609375,1,23,1.876866
18,4,-0.057140424847602844,9.312324523925781,165.2620849609375,1,24,1.8436806
18,5,0.9054874181747437,6.373499870300293,178.7950439453125,1,27,1.8273088
19,0,-2.788041353225708,-5.802433013916016,178.7950439453125,1,2,5.8008564e-15
20,0,7.6247100830078125,5.346630096435547,165.2620849609375,1,1,2.0233295
20,1,3.161569356918335,5.607663154602051,151.7640380859375,1,2,1.9895078e-15
20,2,-1.8561040163040161,6.164112567901611,165.2620849609375,1,3,1.8417608
20,3,3.161569356918335,5.607663154602051,178.7950439453125,1,4,0.13852419
20,4,3.5354080200195312,17.585641860961914,153.1590576171875,1,5,4.6213636e-16
20,5,4.1020588874816895,20.404247283935547,180.1900634765625,1,20,2.0112321e-17
21,0,11.817383766174316,9.339612007141113,165.2620849609375,1,2,7.524115e-17
21,1,-2.3781239986419678,5.9821343421936035,165.2620849609375,1,4,1.8320508
22,0,-19.881826400756836,12.876748085021973,153.1590576171875,1,3,7.280761e-07
22,1,-19.433191299438477,7.450584411621094,166.6571044921875,1,4,1.8415647
22,2,-21.308557510375977,-10.346160888671875,153.1590576171875,1,18,0.00012308874
22,3,-23.894819259643555,-11.601896286010742,180.1900634765625,1,27,1.8415654
22,4,-18.93903923034668,-14.227103233337402,166.6571044921875,1,28,1.7749583
23,0,11.655449867248535,3.5616908073425293,151.7640380859375,1,2,1.8320501
23,1,14.404940605163574,4.40188455581665,178.7950439453125,1,3,1.83205
23,2,-5.1940813064575195,-3.8030154705047607,165.2620849609375,1,4,1.841564
23,3,-20.038347244262695,-12.631797790527344,166.6571044921875,1,5,1.8320503
24,0,25.928937911987305,5.7668561935424805,153.1590576171875,1,21,7.099362e-19
24,1,9.377196311950684,21.752376556396484,153.1571044921875,1,36,0.00088955107
25,0,0.46043989062309265,6.4210124015808105,151.7640380859375,1,5,1.8320508
26,0,9.53171443939209,11.662989616394043,165.2620849609375,1,1,1.8340923
26,1,-15.581795692443848,-17.84111213684082,166.6571044921875,1,2,1.833516
26,2,3.5616908073425293,-11.655449867248535,165.2620849609375,1,4,1.8320494
26,3,11.948432922363281,-2.402106523513794,165.2620849609375,1,5,1.1101533e-15
27,0,13.51028823852539,11.799407958984375,166.6571044921875,1,1,1.8325189
27,1,-2.426985263824463,5.9624786376953125,165.2620849609375,1,2,1.8320512
27,2,-15.062216758728027,0.0924217626452446,165.2620849609375,1,3,1.33292865e-14
27,3,-4.053296089172363,5.001219272613525,178.7950439453125,1,4,2.0540701e-15
28,0,-10.628989219665527,10.672557830810547,151.7640380859375,1,1,9.140747e-17
29,0,-9.178635597229004,-1.573312759399414,151.7640380859375,1,2,1.8320506
29,1,-5.359889507293701,-3.565528154373169,165.2620849609375,1,3,1.8415626
29,2,-12.012308120727539,-2.0590333938598633,178.7950439453125,1,4,1.8415657
30,0,7.491200923919678,-5.532139778137207,151.7640380859375,1,3,5.0390103e-05
31,0,2.5484201908111572,5.911595344543457,178.7950439453125,1,1,6.6806674e-16
31,1,-21.748334884643555,-15.250454902648926,166.6571044921875,1,2,1.8712362e-07
31,2,8.207737922668457,-22.220050811767578,166.6571044921875,1,4,1.8320518
32,0,6.361907958984375,0.9836319088935852,178.7950439453125,1,4,1.8409438
33,0,-16.800701141357422,-6.284135818481445,153.1590576171875,1,3,4.078094e-17
33,1,-22.220050811767578,-8.207737922668457,180.1900634765625,1,4,1.6207532e-05
34,0,-20.704341888427734,-16.64021110534668,166.6571044921875,1,3,1.8415639
