,fX,fY,fZ,mQATruth
187,"[7.5579142570495605, 9.000503540039062, 20.498769760131836, 26.162094116210938, 9.000503540039062, -6.247762203216553, 7.5579142570495605, -6.247762203216553, 23.330432891845703]","[13.02907657623291, 15.51595401763916, 3.6000781059265137, 4.594694137573242, 15.51595401763916, -1.5514096021652222, 13.02907657623291, -1.5514096021652222, 4.097386360168457]","[165.2620849609375, 166.6571044921875, 153.1590576171875, 180.1900634765625, 180.1900634765625, 178.7950439453125, 155.2479248046875, 168.7459716796875, 167.3509521484375]",0
188,"[9.87384033203125, -7.5585246086120605, 9.87384033203125, 11.456406593322754, -7.5585246086120605, -7.580713272094727]","[14.975353240966797, -5.439794540405273, 14.975353240966797, 17.37558364868164, -5.439794540405273, -5.408830165863037]","[166.6571044921875, 165.2620849609375, 153.8529052734375, 180.8839111328125, 155.2479248046875, 182.2789306640625]",0
189,"[11.752644538879395, 11.752644538879395, 19.009700775146484, 21.674930572509766, 6.074382781982422, 16.292888641357422, 6.06561279296875, 13.681485176086426, 11.752644538879395, 8.787214279174805, 9.298303604125977, 16.323444366455078, 21.635665893554688]","[3.2265307903289795, 3.2265307903289795, 8.472983360290527, 9.554841995239258, -2.1314969062805176, -7.503045082092285, -2.15632700920105, -6.300466060638428, 3.2265307903289795, -3.0834274291992188, -0.514005720615387, -7.436334133148193, 9.643424987792969]","[151.7640380859375, 178.7950439453125, 153.1590576171875, 180.1900634765625, 165.2620849609375, 166.6571044921875, 155.2479248046875, 155.2479248046875, 168.745849609375, 182.2789306640625, 182.2786865234375, 180.8839111328125, 167.3509521484375]",0
190,"[3.095928907394409, 3.6193833351135254, 8.239067077636719, 11.011993408203125, -11.799407958984375, -13.690601348876953, -0.9167930483818054, -1.1487510204315186, 9.643424987792969, 3.523594617843628, -11.799407958984375, -1.1487510204315186, 0.33017072081565857]","[20.580947875976562, 23.409351348876953, 19.112245559692383, 24.172348022460938, 13.51028823852539, 15.675700187683105, -17.9140567779541, -20.780773162841797, 21.635665893554688, 23.423961639404297, 13.51028823852539, -20.780773162841797, -17.93446159362793]","[153.1590576171875, 180.1900634765625, 153.1590576171875, 180.1900634765625, 153.1590576171875, 180.1900634765625, 153.1590576171875, 180.1900634765625, 167.3509521484375, 167.3509521484375, 167.3509521484375, 167.3509521484375, 180.8680419921875]",0
191,"[-8.505842208862305, -6.266330242156982, -6.0830512046813965, -8.505842208862305, -6.266330242156982, -8.505842208862305, -6.266330242156982, -5.879877090454102, 12.184809684753418]","[3.79121470451355, 1.4746230840682983, -2.10663104057312, 3.79121470451355, 1.4746230840682983, 3.79121470451355, 1.4746230840682983, 2.62077260017395, -23.60289764404297]","[165.2620849609375, 165.2620849609375, 178.7935791015625, 155.2479248046875, 155.2479248046875, 182.2789306640625, 182.2789306640625, 182.2779541015625, 153.85107421875]",0
192,"[13.576566696166992, -1.729649543762207, 20.680953979492188, -1.729649543762207, 20.680953979492188, 23.537782669067383]","[6.523475646972656, -6.200783729553223, -2.336303472518921, -6.200783729553223, -2.336303472518921, -2.659036159515381]","[151.763916015625, 178.7950439453125, 166.6571044921875, 168.7459716796875, 153.8529052734375, 180.8839111328125]",0
193,"[13.240121841430664, 9.208891868591309, 15.661141395568848, 3.906379461288452, -4.813833713531494, -7.977788925170898, -6.598386287689209, -8.635472297668457, -3.8030154705047607, -5.7143168449401855, -4.4293718338012695, -5.790979862213135, -11.977010726928711, -12.012308120727539, -6.316360950469971, 0.6178807616233826, -1.9316073656082153, -2.8590362071990967, -3.369286060333252, -0.8272066116333008, 6.46260929107666, 9.750993728637695, 12.876748085021973, 4.380504608154297, -3.1552135944366455, -8.635472297668457, -5.744199752807617, -6.156468391418457, -23.988937377929688, -5.507045745849609, -2.764282703399658, -0.27641502022743225, -4.174811363220215, -4.967891693115234, -7.376492500305176, -15.139260292053223, 2.524216890335083, 0.7226403951644897, 11.313871383666992, 6.164112567901611]","[7.181788444519043, 1.3852654695510864, 8.745430946350098, 23.36317253112793, 4.274156093597412, 4.803908824920654, 6.5714497566223145, 8.6002197265625, -5.1940813064575195, -7.353178977966309, -4.671409606933594, -2.811753511428833, -2.2553000450134277, -2.0590333938598633, -1.2429776191711426, -6.407778739929199, -6.140871047973633, -5.767782688140869, -8.681622505187988, -6.38413143157959, -6.705023288726807, -15.055630683898926, -19.881826400756836, 26.198808670043945, 8.761693954467773, 8.6002197265625, -2.906127691268921, 1.8813034296035767, 11.406021118164062, -14.01967716217041, -5.813789367675781, -6.431562900543213, -4.900240421295166, -4.094076156616211, -5.684189796447754, -18.218135833740234, -5.921970367431641, -6.396811485290527, -17.46872901916504, 1.8561040163040161]","[178.7947998046875, 178.794921875, 180.1898193359375, 153.1590576171875, 151.7623291015625, 151.762451171875, 151.7640380859375, 178.7950439453125, 165.2615966796875, 165.2618408203125, 165.261962890625, 178.7950439453125, 178.7950439453125, 178.793701171875, 178.7950439453125, 165.261962890625, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 151.762451171875, 153.1590576171875, 180.1900634765625, 167.3509521484375, 155.246337890625, 168.745849609375, 168.7457275390625, 182.2784423828125, 153.8529052734375, 168.7454833984375, 168.745849609375, 168.74560546875, 182.2784423828125, 182.27880859375, 182.27880859375, 180.8836669921875, 182.2789306640625, 182.2789306640625, 167.3509521484375, 168.74560546875]",0
194,"[-6.467884540557861, -4.803908824920654, -4.836502552032471, -3.390326499938965, -3.390326499938965, -4.037442684173584, -5.23335075378418, -4.836502552032471, -6.523475646972656, -3.390326499938965]","[13.603137969970703, 7.977788925170898, 7.958071231842041, -14.675987243652344, -14.675987243652344, -17.47721290588379, 11.006689071655273, 7.958071231842041, 13.576566696166992, -14.675987243652344]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 180.1900634765625, 155.2479248046875, 168.745849609375, 182.2789306640625, 168.745849609375]",0
195,"[8.112056732177734, 7.753626346588135, 14.986919403076172, 9.013765335083008, 5.225020408630371, 5.270772933959961, 4.848639965057373, 8.761693954467773, 8.695332527160645, 7.6247100830078125, 7.7324628829956055, 12.437779426574707, 6.963701248168945, 19.55982780456543, 8.016823768615723, 9.653799057006836, -0.5975629091262817, 5.25560998916626, 7.711169719696045, 12.839672088623047, 4.831277370452881, 21.810535430908203, 12.181764602661133, 10.712961196899414, 8.681622505187988, 8.653767585754395, 12.171570777893066, 8.848437309265137, 8.735587120056152]","[4.5735321044921875, 5.157899856567383, 1.507039189338684, 18.759323120117188, -3.760394811630249, -3.6959927082061768, -4.234630584716797, -3.1552135944366455, -3.333744764328003, -5.346630096435547, -5.189573764801025, -8.495914459228516, -6.183002948760986, -13.360794067382812, 4.738480567932129, 7.439040660858154, 26.55577850341797, -3.717522382736206, -5.221160888671875, -7.875387668609619, -4.254428863525391, -15.16136360168457, -0.37384915351867676, -5.810990810394287, -3.369286060333252, -3.4401988983154297, 0.6229081749916077, -2.903069496154785, -3.2267887592315674]","[151.7640380859375, 165.2620849609375, 178.7950439453125, 180.188232421875, 151.7640380859375, 151.7640380859375, 151.7640380859375, 165.2620849609375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 153.1590576171875, 155.2479248046875, 182.2789306640625, 153.8529052734375, 168.7459716796875, 168.745849609375, 168.745849609375, 168.7459716796875, 167.350830078125, 155.2479248046875, 155.2479248046875, 155.2479248046875, 155.2479248046875, 168.745849609375, 182.2789306640625, 182.2789306640625]",0
196,"[23.191585540771484, -14.29750919342041, -24.602458953857422, -14.29750919342041, -16.640369415283203]","[12.95055103302002, -10.832134246826172, 10.014259338378906, -10.832134246826172, -12.500330924987793]","[153.1590576171875, 166.6571044921875, 153.8529052734375, 153.8529052734375, 180.8839111328125]",1
197,"[8.930362701416016, 0.8234539031982422, 2.304535150527954, 0.8234539031982422, 0.9233981966972351, 7.846466541290283, 8.930362701416016]","[-21.939605712890625, -23.67318344116211, -6.010867118835449, -23.67318344116211, -26.546445846557617, -19.276750564575195, -21.939605712890625]","[166.6571044921875, 166.6571044921875, 182.2789306640625, 153.8529052734375, 180.8839111328125, 153.8529052734375, 180.8839111328125]",0
198,"[-6.247762203216553, -5.345259666442871, -6.171653747558594, -13.216647148132324, 6.396811485290527, 13.180923461914062, -13.216647148132324, -15.33499526977539, 6.396811485290527, 13.180923461914062, 6.393801689147949, 15.696784019470215]","[-1.5514096021652222, -3.58742356300354, -1.8308734893798828, -12.127412796020508, -0.7226403951644897, -7.289867401123047, -12.127412796020508, -14.071179389953613, -0.7226403951644897, -7.289867401123047, -0.7488011717796326, -8.681294441223145]","[151.7640380859375, 165.2620849609375, 178.7950439453125, 166.6571044921875, 165.2620849609375, 165.2620849609375, 153.8529052734375, 180.8839111328125, 155.2479248046875, 155.2479248046875, 182.2789306640625, 180.8839111328125]",0
199,"[15.032233238220215, 7.8227996826171875, 17.901456832885742, -10.114814758300781, 7.8227996826171875, 9.253167152404785, -9.1095552444458, -10.114814758300781, 17.901456832885742]","[0.9543911218643188, 12.871779441833496, 1.1365571022033691, 24.561288833618164, 12.871779441833496, 15.366613388061523, 21.86581039428711, 24.561288833618164, 1.1365571022033691]","[151.7640380859375, 165.2620849609375, 180.1900634765625, 166.6571044921875, 155.2479248046875, 180.8839111328125, 153.8529052734375, 180.8839111328125, 167.3509521484375]",0
200,"[4.850302696228027, 3.2642009258270264, -11.894248008728027, 5.708584785461426, 4.097386360168457, -2.2516863346099854, -4.383378028869629, -4.032804012298584, -5.804121017456055, -19.57168960571289, -16.413471221923828, -1.3681056499481201, -1.3681056499481201, 5.61449670791626, 3.906379461288452, -4.012244701385498, -2.013570785522461, -3.9349915981292725, -2.2516863346099854, -4.915397644042969, -10.520143508911133, -16.413471221923828, -19.044200897216797, -1.3681056499481201]","[20.23943519592285, 20.554929733276367, 23.750648498535156, 22.98933982849121, 23.330432891845703, 20.690338134765625, 23.27839469909668, 5.017757892608643, 7.282501697540283, 17.958711624145508, 7.2354607582092285, -12.110467910766602, -12.110467910766602, 23.01249885559082, 23.36317253112793, 5.034212589263916, 17.824125289916992, 20.437122344970703, 20.690338134765625, 26.103740692138672, 21.22319984436035, 7.2354607582092285, 8.395151138305664, -12.110467910766602]","[153.1590576171875, 153.1590576171875, 166.6571044921875, 180.1900634765625, 180.1900634765625, 166.6571044921875, 166.6571044921875, 151.7640380859375, 178.7950439453125, 153.1590576171875, 166.6571044921875, 151.7640380859375, 178.7950439453125, 167.3509521484375, 167.3509521484375, 168.7459716796875, 153.8529052734375, 153.8529052734375, 180.8839111328125, 180.8839111328125, 153.8529052734375, 153.8529052734375, 180.8839111328125, 168.745849609375]",0
201,"[-4.883121967315674, -5.001219272613525, -6.361907958984375, -5.942423343658447, 4.653252124786377, 15.27730655670166, 15.21936321258545, 17.387685775756836, 15.731572151184082, -5.942423343658447, -8.6002197265625, -5.034212589263916, 17.387685775756836, 18.99707794189453]","[-4.194821357727051, -4.053296089172363, -0.9836319088935852, -2.4756839275360107, -4.44844388961792, -14.133790969848633, -14.196166038513184, -16.086206436157227, -13.626363754272461, -2.4756839275360107, -8.635472297668457, -4.012244701385498, -16.086206436157227, -14.149511337280273]","[165.261474609375, 165.260498046875, 178.7950439453125, 178.7950439453125, 178.7950439453125, 153.1590576171875, 153.1590576171875, 180.1900634765625, 180.1900634765625, 168.7459716796875, 155.2474365234375, 155.24609375, 167.3509521484375, 167.350830078125]",0
202,"[5.408830165863037, 5.377775192260742, 7.078670024871826, 8.6002197265625, 4.114363670349121]","[7.580713272094727, 7.6027750968933105, 9.92106819152832, 8.635472297668457, 4.9511027336120605]","[165.2620849609375, 155.2479248046875, 182.2789306640625, 182.2789306640625, 182.2789306640625]",1
203,"[6.431562900543213, 6.430378437042236, -6.405197620391846, -6.407778739929199, 7.39948844909668, 6.396811485290527, 7.439040660858154, -6.407778739929199, -20.704341888427734, 7.39948844909668, 6.132918357849121, 6.430378437042236, 9.305469512939453]","[0.27641502022743225, 0.30272167921066284, -0.6440872550010681, -0.6178807616233826, -9.684147834777832, -0.7226403951644897, -9.653799057006836, -0.6178807616233826, -16.64021110534668, -9.684147834777832, -1.9567110538482666, 0.30272167921066284, -0.36180055141448975]","[151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 151.7640380859375, 165.2618408203125, 178.7950439453125, 168.7459716796875, 153.8529052734375, 168.745849609375, 155.2476806640625, 168.7459716796875, 182.278564453125]",0
204,"[0.4078933000564575, 0.4078933000564575, -11.466646194458008, -6.4344706535339355, -6.435224533081055, 6.421374320983887, 0.4078933000564575, -8.774527549743652, -6.4344706535339355, -11.466646194458008, 6.421374320983887, 7.450584411621094]","[6.424564361572266, 6.424564361572266, 4.129306316375732, -0.19746904075145721, -0.17114652693271637, -16.748727798461914, 6.424564361572266, 3.1193466186523438, -0.19746904075145721, 4.129306316375732, -16.748727798461914, -19.433191299438477]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 151.7640380859375, 178.7950439453125, 166.6571044921875, 168.7459716796875, 155.2479248046875, 168.7459716796875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
205,"[-11.879374504089355, -13.440693855285645, -9.047062873840332, -1.5258394479751587, -1.5002437829971313, -13.520368576049805, -24.991409301757812, -9.047062873840332, -1.5002437829971313, -9.047062873840332]","[17.089195251464844, 19.505008697509766, -8.1661376953125, -6.254056453704834, -6.2602458000183105, 19.449865341186523, 8.999771118164062, -8.1661376953125, -6.2602458000183105, -8.1661376953125]","[153.1590576171875, 180.1900634765625, 165.2620849609375, 151.7640380859375, 178.7950439453125, 167.3509521484375, 153.8529052734375, 155.2479248046875, 168.7459716796875, 182.2789306640625]",0
206,"[-6.523475646972656, -5.300833702087402, -5.300833702087402, -1.7803211212158203, -1.8056124448776245, -5.2783308029174805, -5.300833702087402, -6.523475646972656, -1.8056124448776245]","[13.576566696166992, 3.6527481079101562, 3.6527481079101562, -6.186425685882568, -6.179091453552246, 10.985189437866211, 3.6527481079101562, 13.576566696166992, -6.179091453552246]","[165.2620849609375, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 155.2479248046875, 168.7459716796875, 182.2789306640625, 168.7459716796875]",0
207,"[-1.9128551483154297, -0.7749494314193726, -0.9711297154426575, -1.12104332447052, -1.2002167701721191, -1.9128551483154297, -2.177093505859375, -1.12104332447052, -0.9711297154426575]","[20.724409103393555, -6.390685558319092, -12.148747444152832, -9.24477767944336, -15.014605522155762, 20.724409103393555, 23.58724021911621, -9.24477767944336, -12.148747444152832]","[166.6571044921875, 151.7640380859375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 153.8529052734375, 180.8839111328125, 168.745849609375, 168.745849609375]",0
208,"[17.904701232910156, 2.244271993637085, 2.281224250793457, -9.468328475952148, 23.394350051879883, 1.2688050270080566, 2.281224250793457, 17.904701232910156, 20.077831268310547, -7.865754127502441, 12.184415817260742]","[15.508685111999512, 9.03802490234375, 9.028769493103027, 7.673716068267822, -3.715111494064331, 6.31122350692749, 9.028769493103027, 15.508685111999512, 17.39100456237793, 9.309407234191895, -0.2741759419441223]","[166.6571044921875, 151.7640380859375, 178.7950439453125, 178.7950439453125, 166.6552734375, 168.7445068359375, 168.745849609375, 153.8529052734375, 180.8839111328125, 168.745849609375, 182.277099609375]",0
209,"[-16.668664932250977, 0.7800090909004211, 5.09429407119751, 6.667028903961182, -16.668664932250977, -19.308685302734375, 0.7800090909004211, 6.667028903961182, 1.0208172798156738]","[6.626423358917236, -9.279775619506836, -7.795564651489258, -10.202248573303223, 6.626423358917236, 7.767547607421875, -9.279775619506836, -10.202248573303223, -12.144673347473145]","[166.6571044921875, 165.2620849609375, 151.7640380859375, 178.7950439453125, 153.8529052734375, 180.8839111328125, 155.2479248046875, 168.745849609375, 182.2789306640625]",0
210,"[3.9293394088745117, 5.594683647155762, 5.9624786376953125, 0.8179624676704407, 4.03535795211792, 2.45135498046875, 0.03949975594878197, 0.8533146381378174, -12.219338417053223, -13.702425003051758, 5.030346870422363, 1.627962350845337, 6.678531169891357, 3.3208229541778564, 3.298236131668091, 4.154731750488281, -3.477353811264038, -0.5129556655883789, -1.981782078742981, -0.4078933000564575, -2.9997236728668213, -2.882606029510498, -0.3816095292568207, -13.702425003051758, 5.790979862213135]","[5.099185943603516, 3.184481620788574, 2.426985263824463, 9.276507377624512, 11.500044822692871, 5.952500820159912, 6.437378883361816, 6.380694389343262, 20.292495727539062, 22.75543785095215, -7.836980819702148, 6.2282538414001465, 6.489982604980469, 5.514847278594971, 5.528385162353516, 4.917276859283447, 5.417510032653809, 6.4170308113098145, 6.124863147735596, 6.424564361572266, 5.695881366729736, 5.756039142608643, 6.4261794090271, 22.75543785095215, -2.811753511428833]","[165.265625, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.794921875, 178.7950439453125, 178.7950439453125, 178.7950439453125, 153.1590576171875, 180.1900634765625, 178.79443359375, 168.745849609375, 182.2789306640625, 182.2789306640625, 182.2789306640625, 182.2789306640625, 168.74560546875, 182.2789306640625, 182.2789306640625, 182.2789306640625, 182.2789306640625, 182.265625, 182.2789306640625, 167.3509521484375, 182.27880859375]",0
211,"[5.330540180206299, -16.168991088867188, -16.89303207397461, -19.92863655090332, -4.505211353302002, -16.157197952270508, -16.55537986755371, -14.443281173706055, -23.465436935424805, -0.5129556655883789, -0.6660732626914978, -2.0567944049835205, -1.2429776191711426, -1.165372610092163, -0.8794083595275879, -0.8010846972465515, -1.2946110963821411, -0.27641502022743225, -0.672692060470581, -3.2981479167938232, -1.2688050270080566, -1.2429776191711426, -0.7488011717796326, -0.6702830195426941, -1.3203954696655273, 9.101924896240234, 4.1020588874816895, 5.790979862213135, 3.760394811630249, 6.833063125610352, 16.0069637298584, 5.330540180206299, 5.345259666442871, -3.011714458465576, -7.345984935760498, -19.57168960571289, -5.633340835571289, -26.439863204956055, -24.95438575744629, -5.487494468688965, -4.234630584716797, -0.35531938076019287, -0.7224646210670471, -3.191027879714966, -1.2429776191711426, -1.2171294689178467, -0.8010846972465515, -0.6964675188064575, -1.3203954696655273, -5.514847278594971, -6.9889349937438965, -11.688483238220215, -12.01878547668457, -12.448113441467285, -14.443281173706055, 2.7404775619506836, 4.373075008392334, 3.3882484436035156, 4.966063022613525, 3.1027700901031494, 5.66074275970459, 6.326066017150879, 20.906984329223633, 6.247762203216553]","[3.6092588901519775, 13.10434627532959, 20.498580932617188, 6.000802040100098, -4.5983123779296875, -17.32173728942871, -20.77223777770996, -14.985052108764648, -3.2358813285827637, -6.4170308113098145, -9.288649559020996, -6.1000823974609375, -6.316360950469971, -6.3311381340026855, -6.377150535583496, -6.3874616622924805, -6.305980205535889, -6.431562900543213, -12.16892147064209, -8.70889663696289, -6.31122350692749, -6.316360950469971, -6.393801689147949, -6.4025092124938965, -6.300631999969482, -24.95438575744629, -20.404247283935547, -2.811753511428833, -5.225020408630371, -10.091798782348633, -13.301777839660645, 3.6092588901519775, 3.58742356300354, 20.59343910217285, 25.526514053344727, 17.958711624145508, -3.115586519241333, -2.5495080947875977, 9.101924896240234, -3.3658294677734375, -4.848639965057373, -6.42768669128418, -12.166068077087402, -8.748714447021484, -6.316360950469971, -6.32139253616333, -6.3874616622924805, -6.39971399307251, -6.300631999969482, -3.3208229541778564, -6.154465198516846, -13.606369018554688, -16.991437911987305, -12.915044784545898, -14.985052108764648, -5.825048446655273, -8.221853256225586, -5.47368049621582, -7.877872467041016, -17.6671085357666, -25.95231056213379, -19.82778549194336, -16.384883880615234, -1.5514096021652222]","[165.2620849609375, 153.1590576171875, 153.158935546875, 166.6571044921875, 165.2620849609375, 166.6571044921875, 166.6571044921875, 166.6571044921875, 153.1590576171875, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 151.7640380859375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 178.7950439453125, 166.656982421875, 166.6571044921875, 165.2620849609375, 178.7950439453125, 178.7950439453125, 153.1590576171875, 155.2479248046875, 182.2789306640625, 153.852783203125, 153.8529052734375, 167.350830078125, 168.745849609375, 167.350830078125, 180.8837890625, 155.2479248046875, 155.2479248046875, 168.745849609375, 168.745849609375, 168.745849609375, 168.7459716796875, 168.7459716796875, 168.7459716796875, 168.7459716796875, 168.7459716796875, 182.2789306640625, 182.2789306640625, 153.8529052734375, 153.852783203125, 153.8529052734375, 180.8839111328125, 155.2479248046875, 155.2479248046875, 168.745849609375, 168.745849609375, 153.8529052734375, 180.8839111328125, 153.852783203125, 167.350830078125, 182.2789306640625]",0
212,"[-26.553110122680664, -23.503379821777344, -10.178045272827148, -11.809370040893555, 12.052913665771484, 13.515800476074219, -10.178045272827148, -23.679126739501953, -23.67318344116211, -26.553110122680664, -26.162094116210938, 13.515800476074219]","[0.7061871290206909, 2.947680711746216, 14.770284652709961, 17.13764762878418, -20.39178466796875, -22.866777420043945, 14.770284652709961, 0.6297527551651001, 0.8234539031982422, 0.7061871290206909, 4.594694137573242, -22.866777420043945]","[166.6571044921875, 166.6571044921875, 153.1590576171875, 180.1900634765625, 153.1590576171875, 180.1900634765625, 167.3509521484375, 153.8529052734375, 153.8529052734375, 180.8839111328125, 180.8839111328125, 167.3509521484375]",0
213,"[18.334880828857422, 18.29444122314453, 23.400373458862305, 14.779057502746582, 14.779057502746582, 20.86762809753418, 18.93974494934082, 17.599956512451172]","[9.848465919494629, 9.923383712768555, 12.56936264038086, -2.9083263874053955, -2.9083263874053955, 11.208914756774902, 8.628220558166504, -3.46344256401062]","[153.1590576171875, 153.1590576171875, 180.1900634765625, 165.2620849609375, 155.2479248046875, 167.3509521484375, 167.3507080078125, 180.8839111328125]",0
214,"[9.309207916259766, 9.31014347076416, 1.6858302354812622, 1.648351788520813, -3.1193466186523438, -4.082366466522217, 4.293811798095703, 1.6858302354812622, -4.082366466522217, 9.309207916259766]","[0.247580885887146, 0.2094985395669937, 9.158637046813965, 9.165456771850586, -8.774527549743652, -11.483442306518555, -4.796309471130371, 9.158637046813965, -11.483442306518555, 0.247580885887146]","[151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 151.7640380859375, 178.7950439453125, 178.7950439453125, 168.745849609375, 168.745849609375, 168.745849609375]",0
215,"[-0.07478109747171402, -0.0924217626452446, 6.278184413909912, -0.07478109747171402, 6.27230978012085]","[-12.187270164489746, -15.062216758728027, -1.42330801486969, -12.187270164489746, -1.4489777088165283]","[151.7640380859375, 178.7950439453125, 165.2620849609375, 168.745849609375, 182.2789306640625]",0
216,"[-4.929107666015625, -14.937627792358398, -5.620548725128174, -4.7254133224487305, -4.032804012298584, -5.417510032653809, -6.001389980316162, -23.626832962036133, -3.01143479347229, -1.6788620948791504, -1.9316073656082153, 4.305664539337158, -0.1448211371898651, -0.06583219766616821, 6.835792064666748, 8.49360179901123, 4.761020660400391, 4.094076156616211, 14.770284652709961, -3.9882822036743164, -4.929107666015625, -5.8905487060546875, -17.8615779876709, -4.410226345062256, -5.388880252838135, -0.8559021353721619, -0.6178807616233826, -0.7488011717796326, -4.635015964508057, -7.422748565673828, -5.0623626708984375, -5.459774494171143, 2.6850435733795166, 6.329651355743408, 4.234630584716797, 12.04302978515625, 0.9317378997802734, 0.013166659511625767, 0.11849332600831985, 23.394350051879883]","[14.233158111572266, -1.9355027675628662, -3.138604164123535, -4.371713161468506, -5.017757892608643, -3.477353811264038, -2.329103946685791, -1.6942400932312012, -8.812146186828613, -6.21472692489624, -6.140871047973633, -8.257354736328125, -6.43587064743042, -6.437163352966309, -6.3241286277771, -8.74035930633545, -4.332907676696777, -4.967891693115234, -10.178045272827148, 11.51645565032959, 14.233158111572266, -2.596698522567749, -1.648616909980774, -4.689489364624023, -3.521559000015259, -9.273083686828613, -6.407778739929199, -6.393801689147949, -4.467441082000732, -5.623651504516602, -7.816338062286377, -3.4106109142303467, -8.917016983032227, -10.414925575256348, -4.848639965057373, -9.046785354614258, -9.265771865844727, -6.43748664855957, -6.4364094734191895, -3.715111494064331]","[165.2620849609375, 151.7640380859375, 151.7640380859375, 165.2620849609375, 165.2620849609375, 165.2620849609375, 178.7950439453125, 180.1900634765625, 151.7640380859375, 151.7640380859375, 151.7640380859375, 165.2620849609375, 178.7950439453125, 178.7950439453125, 151.7640380859375, 178.7950439453125, 178.7950439453125, 178.7950439453125, 180.1900634765625, 155.2479248046875, 182.2789306640625, 168.745849609375, 167.350830078125, 155.2479248046875, 155.2479248046875, 168.745849609375, 168.745849609375, 168.745849609375, 182.2789306640625, 182.2789306640625, 182.2789306640625, 182.2789306640625, 155.2479248046875, 168.745849609375, 168.745849609375, 168.745849609375, 182.2789306640625, 182.2789306640625, 182.2646484375, 153.852783203125]",0
217,"[-10.466361045837402, -4.519586086273193, -5.382246017456055, 3.4551639556884766, 3.4329161643981934, -10.466361045837402, -4.519586086273193, -10.466361045837402, 3.4329161643981934]","[-6.244233131408691, -14.368446350097656, -17.110971450805664, -5.431689262390137, -5.445777416229248, -6.244233131408691, -14.368446350097656, -6.244233131408691, -5.445777416229248]","[165.2620849609375, 151.7640380859375, 180.1900634765625, 151.7640380859375, 178.7950439453125, 155.2479248046875, 168.745849609375, 182.2789306640625, 168.7459716796875]",0
218,"[-4.778857231140137, -8.980225563049316, -17.92395782470703, -8.979951858520508, -4.778857231140137, -4.778857231140137, -8.980225563049316, -8.980225563049316, -17.92395782470703, -20.79678726196289, -6.8616042137146, -8.979951858520508]","[11.21149730682373, 2.465400457382202, 0.6968910098075867, -8.239879608154297, 11.21149730682373, 11.21149730682373, 2.465400457382202, 2.465400457382202, 0.6968910098075867, 0.8085877895355225, -6.29611349105835, -8.239879608154297]","[165.2620849609375, 165.2620849609375, 166.6571044921875, 165.2620849609375, 155.2479248046875, 182.2789306640625, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125, 155.2479248046875, 182.2789306640625]",0
219,"[8.239672660827637, 10.783464431762695, 14.227103233337402, 12.500330924987793, 14.227103233337402, 8.239672660827637]","[4.3394060134887695, 5.679088592529297, 18.93903923034668, 16.640369415283203, 18.93903923034668, 4.3394060134887695]","[151.7640380859375, 178.7950439453125, 166.6571044921875, 153.8529052734375, 180.8839111328125, 168.745849609375]",0
220,"[7.07322883605957, 8.488017082214355, -8.735587120056152, 23.626832962036133, 7.127568244934082, -8.735587120056152, -11.432480812072754, 20.75919532775879, 26.494468688964844]","[13.298433303833008, 15.802135467529297, 3.2267887592315674, -1.6942400932312012, 13.269389152526855, 3.2267887592315674, 4.222978591918945, -1.4886066913604736, -1.8998733758926392]","[151.7640380859375, 180.1900634765625, 165.2620849609375, 166.6571044921875, 168.745849609375, 155.2479248046875, 182.2789306640625, 153.8529052734375, 180.8839111328125]",0
221,"[-5.270772933959961, -5.25560998916626, -23.552858352661133, -1.035646677017212, 1.3718976974487305, -1.0096477270126343, -5.270772933959961, -21.00360679626465, -1.0096477270126343, 1.3718976974487305, 1.397614598274231]","[3.6959927082061768, 3.717522382736206, 12.281257629394531, -6.3536481857299805, -6.289618492126465, -6.357831001281738, 3.6959927082061768, 10.95199203491211, -6.357831001281738, -6.289618492126465, -6.28395414352417]","[151.7640380859375, 178.7950439453125, 166.6571044921875, 151.7640380859375, 165.2620849609375, 178.7950439453125, 168.7459716796875, 153.8529052734375, 168.7459716796875, 155.2479248046875, 182.2789306640625]",0
